58847   26.08  119.28   福州市                                  福州市                 福建省      福建省       
59134   24.48  118.07   厦门市                                  厦门市                 福建省      福建省       
58946   25.45  119.00   莆田市                                  莆田市                 福建省      福建省       
58828   26.27  117.62   三明市                                  三明市                 福建省      福建省       
58834   26.63  118.17   南平市                                  南平市                 福建省      福建省       
58927   25.05  117.02   龙岩市                                  龙岩市                 福建省      福建省       
58846   26.67  119.52   宁德市                                  宁德市                 福建省      福建省       
58606   28.60  115.92   南昌市                                  南昌市                 江西省      江西省       
58527   29.30  117.20   景德镇市                                景德镇市               江西省      江西省       
57786   27.65  113.85   萍乡市                                  萍乡市                 江西省      江西省       
58502   29.73  116.00   九江市                                  九江市                 江西省      江西省       
57796   27.80  114.93   新余市                                  新余市                 江西省      江西省       
58627   28.25  117.03   鹰潭市                                  鹰潭市                 江西省      江西省       
58900   25.51  114.57   赣州市                                  赣州市                 江西省      江西省       
57797   27.07  114.58   吉安市                                  吉安市                 江西省      江西省       
57793   27.80  114.38   宜春市                                  宜春市                 江西省      江西省       
58617   28.00  116.22   抚州市                                  抚州市                 江西省      江西省       
58637   28.45  117.98   上饶市                                  上饶市                 江西省      江西省       
54823   36.60  117.05   济南市                                  济南市                 山东省      山东省       
54857   36.07  120.33   青岛市                                  青岛市                 山东省      山东省       
54830   36.83  118.00   淄博市                                  淄博市                 山东省      山东省       
58024   34.87  117.57   枣庄市                                  枣庄市                 山东省      山东省       
54736   37.43  118.67   东营市                                  东营市                 山东省      山东省       
54765   37.48  121.43   烟台市                                  烟台市                 山东省      山东省       
54843   36.75  119.18   潍坊市                                  潍坊市                 山东省      山东省       
54915   35.45  116.60   济宁市                                  济宁市                 山东省      山东省       
54827   36.17  117.15   泰安市                                  泰安市                 山东省      山东省       
54774   37.47  122.13   威海市                                  威海市                 山东省      山东省       
54945   35.43  119.53   日照市                                  日照市                 山东省      山东省       
54828   36.23  117.68   莱芜市                                  莱芜市                 山东省      山东省       
54938   35.05  118.40   临沂市                                  临沂市                 山东省      山东省       
54714   37.45  116.35   德州市                                  德州市                 山东省      山东省       
54806   36.42  115.97   聊城市                                  聊城市                 山东省      山东省       
54734   37.37  118.02   滨州市                                  滨州市                 山东省      山东省       
57083   34.72  113.65   郑州市                                  郑州市                 河南省      河南省       
57091   34.78  114.30   开封市                                  开封市                 河南省      河南省       
57171   33.46  113.07   平顶山市                                平顶山市               河南省      河南省       
53898   36.05  114.40   安阳市                                  安阳市                 河南省      河南省       
53990   35.43  114.19   鹤壁市                                  鹤壁市                 河南省      河南省       
53986   35.32  113.88   新乡市                                  新乡市                 河南省      河南省       
53982   35.23  113.27   焦作市                                  焦作市                 河南省      河南省       
54900   35.70  115.02   濮阳市                                  濮阳市                 河南省      河南省       
57089   34.03  113.87   许昌市                                  许昌市                 河南省      河南省       
57186   33.60  114.05   漯河市                                  漯河市                 河南省      河南省       
57051   34.80  111.20   三门峡市                                三门峡市               河南省      河南省       
57178   33.03  112.58   南阳市                                  南阳市                 河南省      河南省       
58005   34.45  115.67   商丘市                                  商丘市                 河南省      河南省       
57297   32.13  114.05   信阳市                                  信阳市                 河南省      河南省       
57290   33.00  114.02   驻马店市                                驻马店市               河南省      河南省       
57494   30.62  114.13   武汉市                                  武汉市                 湖北省      湖北省       
57256   32.65  110.78   十堰市                                  十堰市                 湖北省      湖北省       
57461   30.70  111.30   宜昌市                                  宜昌市                 湖北省      湖北省       
57278   32.03  112.17   襄樊市                                  襄樊市                 湖北省      湖北省       
57496   30.37  114.87   鄂州市                                  鄂州市                 湖北省      湖北省       
57482   30.90  113.95   孝感市                                  孝感市                 湖北省      湖北省       
57476   30.35  112.15   荆州市                                  荆州市                 湖北省      湖北省       
57498   30.43  114.90   黄冈市                                  黄冈市                 湖北省      湖北省       
57590   29.83  114.33   咸宁市                                  咸宁市                 湖北省      湖北省       
57447   30.28  109.47   恩施市                                  恩施土家族苗族自治州   湖北省      湖北省       
57687   28.22  112.92   长沙市                                  长沙市                 湖南省      湖南省       
57780   27.87  113.17   株洲市                                  株洲市                 湖南省      湖南省       
